,Time
0,0.005863
1,0.00974
2,0.011362
3,0.013111
4,0.016258
5,0.019112
6,0.022601
7,0.024639
8,0.02687
9,0.029115
10,0.035748
11,0.059389
12,0.060139
13,0.063626
14,0.064847
15,0.064978
16,0.073848
17,0.077404
18,0.085114
19,0.087613
20,0.08935
21,0.099978
22,0.105853
23,0.113884
24,0.114103
25,0.123585
26,0.127239
27,0.132115
28,0.135729
29,0.142121
30,0.145866
31,0.151241
32,0.155923
33,0.155944
34,0.15862
35,0.163842
36,0.163855
37,0.169247
38,0.173715
39,0.178119
40,0.187001
41,0.189443
42,0.199976
43,0.205868
44,0.206243
45,0.206396
46,0.211008
47,0.212347
48,0.213824
49,0.224139
50,0.227106
51,0.229364
52,0.230134
53,0.230373
54,0.236024
55,0.252884
56,0.25713
57,0.266373
58,0.269612
59,0.272933
60,0.278637
61,0.279359
62,0.28861
63,0.289117
64,0.290369
65,0.293898
66,0.300113
67,0.301839
68,0.317866
69,0.322091
70,0.327126
71,0.328098
72,0.329126
73,0.330626
74,0.337634
75,0.339593
76,0.341103
77,0.345177
78,0.359075
79,0.367974
80,0.3686
81,0.371004
82,0.371613
83,0.379185
84,0.388103
85,0.388342
86,0.389005
87,0.394121
88,0.39602
89,0.400371
90,0.406109
91,0.406959
92,0.411113
93,0.412307
94,0.41859
95,0.42611
96,0.427433
97,0.429437
98,0.430985
99,0.438988
100,0.461382
101,0.462342
102,0.468652
103,0.472716
104,0.473327
105,0.477946
106,0.478846
107,0.486147
108,0.489389
109,0.489413
110,0.492053
111,0.494175
112,0.499906
113,0.500599
114,0.514276
115,0.517491
116,0.518127
117,0.519852
118,0.522109
119,0.527502
120,0.530126
121,0.53986
122,0.542637
123,0.544132
124,0.55711
125,0.560109
126,0.560383
127,0.56324
128,0.568113
129,0.572117
130,0.583872
131,0.588589
132,0.589617
133,0.592616
134,0.606667
135,0.610825
136,0.61232
137,0.612331
138,0.61963
139,0.621396
140,0.625214
141,0.625236
142,0.626269
143,0.65713
144,0.660688
145,0.663459
146,0.664479
147,0.669939
148,0.671229
149,0.673705
150,0.678257
151,0.683939
152,0.68937
153,0.690359
154,0.690608
155,0.694892
156,0.706609
157,0.710341
158,0.712393
159,0.713737
160,0.715435
161,0.720438
162,0.739899
163,0.74034
164,0.746856
165,0.753108
166,0.755855
167,0.757726
168,0.760976
169,0.763126
170,0.767746
171,0.771837
172,0.771851
173,0.788474
174,0.78985
175,0.790859
176,0.801083
177,0.806986
178,0.810869
179,0.812459
180,0.812602
181,0.812855
182,0.819329
183,0.822364
184,0.822384
185,0.823404
186,0.847116
187,0.852648
188,0.858867
189,0.860911
190,0.863838
191,0.867694
192,0.872064
193,0.873894
194,0.877655
195,0.882416
196,0.882838
197,0.889172
198,0.893098
199,0.895098
200,0.896469
201,0.914627
202,0.923699
203,0.94026
204,0.944292
205,0.946141
206,0.946978
207,0.948978
208,0.951242
209,0.962458
210,0.963293
211,0.989386
212,0.9894
213,0.992026
214,0.992894
215,0.996888
216,1.004051
217,1.006872
218,1.010964
219,1.011765
220,1.021691
221,1.026624
222,1.042735
223,1.047005
224,1.050352
225,1.051096
226,1.063025
227,1.072357
228,1.074001
229,1.078601
230,1.089709
231,1.09396
232,1.095854
233,1.096353
234,1.10061
235,1.105332
236,1.108612
237,1.126114
238,1.128217
239,1.133236
240,1.140863
241,1.142869
242,1.14512
243,1.148193
244,1.151011
245,1.155999
246,1.161617
247,1.163599
248,1.180375
249,1.188826
250,1.192362
251,1.204864
252,1.206182
253,1.206898
254,1.212067
255,1.213784
256,1.226609
257,1.228738
258,1.228759
259,1.231917
260,1.236582
261,1.251367
262,1.256616
263,1.263565
264,1.27437
265,1.275338
266,1.278758
267,1.279647
268,1.288865
269,1.289087
270,1.290122
271,1.298106
272,1.316625
273,1.324159
274,1.325753
275,1.327252
276,1.332382
277,1.332888
278,1.336163
279,1.339124
280,1.346751
281,1.3528
282,1.355678
283,1.362766
284,1.364012
285,1.370398
286,1.372516
287,1.373781
288,1.388122
289,1.389988
290,1.390207
291,1.394106
292,1.398148
293,1.409618
294,1.412476
295,1.41686
296,1.418239
297,1.42174
298,1.422939
299,1.429873
300,1.431877
301,1.441628
302,1.445876
303,1.451775
304,1.457348
305,1.460624
306,1.468103
307,1.470593
308,1.472872
309,1.477999
310,1.479674
311,1.481349
312,1.482023
313,1.489905
314,1.494853
315,1.496453
316,1.497376
317,1.498377
318,1.507355
319,1.517912
320,1.518928
321,1.521577
322,1.524115
323,1.524138
324,1.526113
325,1.528604
326,1.536109
327,1.545761
328,1.546086
329,1.550017
330,1.551361
331,1.560761
332,1.563617
333,1.574214
334,1.57554
335,1.586792
336,1.589524
337,1.593625
338,1.597875
339,1.598121
340,1.599244
341,1.609196
342,1.611221
343,1.612398
344,1.627501
345,1.635608
346,1.640977
347,1.648636
348,1.651391
349,1.656461
350,1.663463
351,1.664606
352,1.67261
353,1.680339
354,1.680711
355,1.689515
356,1.697843
357,1.706498
358,1.70652
359,1.708844
360,1.712246
361,1.718369
362,1.726619
363,1.72735
364,1.734883
365,1.7372
366,1.739606
367,1.747455
368,1.748522
369,1.765718
370,1.768733
371,1.77046
372,1.774409
373,1.789636
374,1.790779
375,1.791162
376,1.798319
377,1.803369
378,1.814609
379,1.816639
380,1.823514
381,1.826711
382,1.827484
383,1.830837
384,1.832638
385,1.835119
386,1.83661
387,1.841771
388,1.842337
389,1.847879
390,1.850879
391,1.85977
392,1.865343
393,1.873252
394,1.882861
395,1.890511
396,1.898608
397,1.898631
398,1.908148
399,1.908899
400,1.911476
401,1.914132
402,1.915427
403,1.927605
404,1.93486
405,1.937228
406,1.946873
407,1.95786
408,1.959083
409,1.962254
410,1.963613
411,1.963624
412,1.963983
413,1.974611
414,1.990794
415,1.994146
416,1.998747
417,2.009369
418,2.011997
419,2.013621
420,2.013632
421,2.014878
422,2.024404
423,2.026877
424,2.034461
425,2.035131
426,2.037255
427,2.041406
428,2.059135
429,2.061285
430,2.061851
431,2.063892
432,2.075364
433,2.079816
434,2.083245
435,2.090616
436,2.092239
437,2.095372
438,2.105405
439,2.107118
440,2.108767
441,2.110119
442,2.112396
443,2.113887
444,2.118817
445,2.127921
446,2.13837
447,2.147625
448,2.147868
449,2.152724
450,2.156171
451,2.163356
452,2.165307
453,2.174921
454,2.175174
455,2.180004
456,2.190903
457,2.1914
458,2.19776
459,2.210893
460,2.212664
461,2.218929
462,2.227885
463,2.228734
464,2.229641
465,2.231393
466,2.241031
467,2.241608
468,2.242188
469,2.247587
470,2.259917
471,2.264663
472,2.27539
473,2.279416
474,2.280091
475,2.289599
476,2.293692
477,2.294591
478,2.298351
479,2.303094
480,2.308379
481,2.310386
482,2.312612
483,2.319781
484,2.327039
485,2.329905
486,2.332126
487,2.333622
488,2.33663
489,2.348608
490,2.350205
491,2.358061
492,2.37477
493,2.374957
494,2.375481
495,2.376407
496,2.381168
497,2.381308
498,2.381319
499,2.390969
500,2.392736
501,2.398222
502,2.402319
503,2.413848
504,2.421848
505,2.423119
506,2.42735
507,2.430124
508,2.432707
509,2.441871
510,2.441885
511,2.444852
512,2.448096
513,2.448521
514,2.46426
515,2.477258
516,2.479102
517,2.480485
518,2.480953
519,2.490129
520,2.491229
521,2.492631
522,2.498735
523,2.50237
524,2.508858
525,2.523642
526,2.524012
527,2.527215
528,2.52776
529,2.530652
530,2.544444
531,2.547871
532,2.548089
533,2.563626
534,2.566882
535,2.568867
536,2.575151
537,2.576394
538,2.57818
539,2.580404
540,2.580425
541,2.589879
542,2.596739
543,2.598156
544,2.602857
545,2.614187
546,2.614212
547,2.631664
548,2.631676
549,2.634102
550,2.636638
551,2.641756
552,2.646191
553,2.664867
554,2.667121
555,2.681387
556,2.682172
557,2.682613
558,2.683347
559,2.690129
560,2.691872
561,2.696276
562,2.702615
563,2.708592
564,2.712869
565,2.713756
566,2.714375
567,2.728971
568,2.731381
569,2.731975
570,2.738104
571,2.746766
572,2.748233
573,2.76179
574,2.763002
575,2.763962
576,2.767361
577,2.772239
578,2.775116
579,2.775288
580,2.780363
581,2.780856
582,2.782515
583,2.782662
584,2.786113
585,2.790447
586,2.791607
587,2.798399
588,2.803874
589,2.814873
590,2.820127
591,2.827828
592,2.830653
593,2.831374
594,2.838232
595,2.842191
596,2.842375
597,2.845655
598,2.846617
599,2.84852
600,2.880632
601,2.883675
602,2.886585
603,2.887008
604,2.88994
605,2.89086
606,2.891976
607,2.897644
608,2.898985
609,2.909166
610,2.914256
611,2.926984
612,2.92738
613,2.930013
614,2.931608
615,2.932557
616,2.943238
617,2.94655
618,2.948389
619,2.949369
620,2.962778
621,2.964875
622,2.976223
623,2.980997
624,2.983355
625,2.985681
626,2.986191
627,2.989693
628,2.990802
629,2.991351
630,2.992344
631,2.997934
632,2.998944
633,3.02664
634,3.029925
635,3.032365
636,3.037878
637,3.038951
638,3.042515
639,3.046921
640,3.047982
641,3.06561
642,3.074675
643,3.075116
644,3.076867
645,3.082475
646,3.086484
647,3.090617
648,3.097996
649,3.108972
650,3.110619
651,3.113405
652,3.115499
653,3.118181
654,3.124276
655,3.125218
656,3.12575
657,3.131578
658,3.132219
659,3.135149
660,3.148603
661,3.159351
662,3.160122
663,3.162913
664,3.164855
665,3.174379
666,3.174391
667,3.175359
668,3.176103
669,3.179847
670,3.183418
671,3.18616
672,3.191453
673,3.196636
674,3.197852
675,3.207605
676,3.213993
677,3.214582
678,3.226343
679,3.227462
680,3.237389
681,3.239586
682,3.240716
683,3.242372
684,3.246591
685,3.258542
686,3.263475
687,3.264876
688,3.265369
689,3.266344
690,3.275644
691,3.281173
692,3.281905
693,3.282871
694,3.28518
695,3.286348
696,3.28848
697,3.28975
698,3.290273
699,3.30173
700,3.301858
701,3.305892
702,3.308576
703,3.309434
704,3.309736
705,3.31204
706,3.314091
707,3.316585
708,3.317712
709,3.321935
710,3.331609
711,3.331865
712,3.335606
713,3.346362
714,3.34651
715,3.346523
716,3.347133
717,3.347892
718,3.348665
719,3.349664
720,3.358486
721,3.362895
722,3.365426
723,3.36667
724,3.368616
725,3.369768
726,3.37165
727,3.373372
728,3.374221
729,3.376154
730,3.376178
731,3.37876
732,3.380627
733,3.386648
734,3.397268
735,3.4035
736,3.408604
737,3.414203
738,3.415127
739,3.416303
740,3.421901
741,3.424385
742,3.425622
743,3.428357
744,3.431889
745,3.432597
746,3.434055
747,3.435029
748,3.440635
749,3.441107
750,3.4424
751,3.44771
752,3.44818
753,3.449376
754,3.465617
755,3.469887
756,3.471455
757,3.473691
758,3.483864
759,3.484384
760,3.486643
761,3.49236
762,3.493611
763,3.494108
764,3.497124
765,3.498611
766,3.508611
767,3.513395
768,3.514589
769,3.515738
770,3.521519
771,3.523495
772,3.53523
773,3.535887
774,3.542092
775,3.544148
776,3.548264
777,3.554102
778,3.55964
779,3.561272
780,3.566021
781,3.566874
782,3.568348
783,3.569997
784,3.571123
785,3.575504
786,3.579624
787,3.58095
788,3.581098
789,3.581399
790,3.587159
791,3.587351
792,3.594029
793,3.595881
794,3.59786
795,3.608204
796,3.61276
797,3.616412
798,3.617856
799,3.621613
800,3.625111
801,3.625984
802,3.626107
803,3.626883
804,3.632131
805,3.63236
806,3.637263
807,3.640792
808,3.644961
809,3.650097
810,3.659988
811,3.66805
812,3.674517
813,3.681601
814,3.682268
815,3.682723
816,3.682737
817,3.687125
818,3.692527
819,3.692744
820,3.696253
821,3.698352
822,3.700978
823,3.724376
824,3.731876
825,3.73265
826,3.739335
827,3.746697
828,3.748006
829,3.750833
830,3.75133
831,3.75798
832,3.759431
833,3.782643
834,3.787015
835,3.788891
836,3.791429
837,3.794046
838,3.800501
839,3.804466
840,3.807865
841,3.808889
842,3.815001
843,3.826499
844,3.832702
845,3.836372
846,3.836845
847,3.83837
848,3.846978
849,3.858475
850,3.859174
851,3.863951
852,3.870508
853,3.879362
854,3.882018
855,3.88358
856,3.888661
857,3.889916
858,3.889931
859,3.893356
860,3.907916
861,3.913866
862,3.915608
863,3.922517
864,3.92937
865,3.932978
866,3.939089
867,3.941587
868,3.943188
869,3.951098
870,3.971775
871,3.972953
872,3.975119
873,3.980898
874,3.982206
875,3.98302
876,3.985104
877,3.993349
878,3.997856
879,4.026609
880,4.026936
881,4.035171
882,4.041121
883,4.043519
884,4.044139
885,4.047399
886,4.049573
887,4.057922
888,4.062526
889,4.070918
890,4.077127
891,4.082905
892,4.082932
893,4.108402
894,4.110758
895,4.11376
896,4.115802
897,4.115942
898,4.126986
899,4.128721
900,4.136655
901,4.136919
902,4.154033
903,4.158135
904,4.16019
905,4.165782
906,4.166013
907,4.166929
908,4.16694
909,4.181267
910,4.182392
911,4.193609
912,4.194986
913,4.210528
914,4.215828
915,4.217447
916,4.22489
917,4.228871
918,4.242377
919,4.247137
920,4.248619
921,4.254166
922,4.260844
923,4.265604
924,4.266122
925,4.268377
926,4.283849
927,4.295227
928,4.296128
929,4.302109
930,4.311355
931,4.31438
932,4.316885
933,4.317029
934,4.320937
935,4.325389
936,4.329607
937,4.339709
938,4.350587
939,4.354363
940,4.364593
941,4.367822
942,4.368291
943,4.372616
944,4.377124
945,4.381919
946,4.401945
947,4.402372
948,4.406853
949,4.414631
950,4.416273
951,4.416898
952,4.420652
953,4.425951
954,4.427247
955,4.429328
956,4.450613
957,4.454137
958,4.462113
959,4.466932
960,4.476309
961,4.476833
962,4.482385
963,4.486596
964,4.495871
965,4.50042
966,4.508847
967,4.509515
968,4.517173
969,4.527147
970,4.528844
971,4.534225
972,4.537897
973,4.548348
974,4.549624
975,4.554712
976,4.558631
977,4.561225
978,4.566932
979,4.568951
980,4.577977
981,4.584104
982,4.587333
983,4.600646
984,4.602107
985,4.608613
986,4.614365
987,4.616169
988,4.627501
989,4.634095
990,4.642989
991,4.644364
992,4.650632
993,4.652855
994,4.654624
995,4.676128
996,4.677728
997,4.680637
998,4.681846
999,4.683985
1000,4.701115
1001,4.704164
1002,4.70986
1003,4.714119
1004,4.726669
1005,4.727679
1006,4.732371
1007,4.734231
1008,4.738145
1009,4.73817
1010,4.749765
1011,4.750935
1012,4.752107
1013,4.754334
1014,4.754609
1015,4.762361
1016,4.76912
1017,4.775965
1018,4.777736
1019,4.785748
1020,4.801513
1021,4.802627
1022,4.802641
1023,4.805783
1024,4.811755
1025,4.815935
1026,4.822457
1027,4.827382
1028,4.82798
1029,4.8342
1030,4.83819
1031,4.845507
1032,4.845874
1033,4.863943
1034,4.867237
1035,4.870649
1036,4.878806
1037,4.882874
1038,4.884364
1039,4.890866
1040,4.894518
1041,4.894984
1042,4.897694
1043,4.916269
1044,4.928295
1045,4.930155
1046,4.938377
1047,4.942133
1048,4.945201
1049,4.947482
1050,4.948855
1051,4.951754
1052,4.964998
1053,4.967247
1054,4.970801
1055,4.978203
1056,4.988009
1057,4.996363
1058,4.997104
1059,5.00936
1060,5.017121
1061,5.017149
1062,5.022121
1063,5.024422
1064,5.027872
1065,5.028831
1066,5.030814
1067,5.03114
1068,5.031342
1069,5.032356
1070,5.041636
1071,5.044743
1072,5.050612
1073,5.051339
1074,5.060524
1075,5.065841
1076,5.067754
1077,5.070733
1078,5.077843
1079,5.07809
1080,5.078105
1081,5.08289
1082,5.095614
1083,5.102487
1084,5.103275
1085,5.103288
1086,5.113016
1087,5.116939
1088,5.121717
1089,5.128114
1090,5.12915
1091,5.129456
1092,5.130108
1093,5.132242
1094,5.13401
1095,5.142154
1096,5.152671
1097,5.16404
1098,5.164067
1099,5.168423
1100,5.177919
1101,5.178393
1102,5.183093
1103,5.187068
1104,5.189388
1105,5.196867
1106,5.199492
1107,5.202054
1108,5.202848
1109,5.204988
1110,5.218524
1111,5.228258
1112,5.229842
1113,5.231421
1114,5.232127
1115,5.23214
1116,5.239881
1117,5.240643
1118,5.250371
1119,5.250848
1120,5.251506
1121,5.252605
1122,5.262508
1123,5.263599
1124,5.268839
1125,5.268975
1126,5.278117
1127,5.280615
1128,5.299042
1129,5.300705
1130,5.301558
1131,5.301573
1132,5.305214
1133,5.316827
1134,5.322293
1135,5.323894
1136,5.328117
1137,5.332127
1138,5.332411
1139,5.342324
1140,5.342415
1141,5.346596
1142,5.350766
1143,5.351242
1144,5.36121
1145,5.36245
1146,5.365756
1147,5.377594
1148,5.379254
1149,5.380804
1150,5.385013
1151,5.397405
1152,5.398647
1153,5.398926
1154,5.401501
1155,5.405808
1156,5.406075
1157,5.418854
1158,5.425118
1159,5.429036
1160,5.432508
1161,5.440707
1162,5.44156
1163,5.450138
1164,5.453116
1165,5.457433
1166,5.460984
1167,5.46484
1168,5.467717
1169,5.477662
1170,5.483218
1171,5.484116
1172,5.484988
1173,5.498367
1174,5.501943
1175,5.501957
1176,5.505125
1177,5.508626
1178,5.511101
1179,5.517528
1180,5.518971
1181,5.519373
1182,5.528602
1183,5.531947
1184,5.533975
1185,5.549484
1186,5.551607
1187,5.558855
1188,5.558998
1189,5.560858
1190,5.568834
1191,5.578105
1192,5.579008
1193,5.579432
1194,5.580885
1195,5.584914
1196,5.589207
1197,5.598874
1198,5.600712
1199,5.610969
1200,5.61377
1201,5.614912
1202,5.61712
1203,5.61987
1204,5.624962
1205,5.62812
1206,5.631022
1207,5.640038
1208,5.640052
1209,5.648123
1210,5.648616
1211,5.650649
1212,5.650662
1213,5.652603
1214,5.66412
1215,5.666602
1216,5.6706
1217,5.671169
1218,5.674423
1219,5.677975
1220,5.679151
1221,5.686356
1222,5.688702
1223,5.699884
1224,5.701578
1225,5.709462
1226,5.710655
1227,5.712986
1228,5.718511
1229,5.719358
1230,5.729662
1231,5.729981
1232,5.733783
1233,5.736876
1234,5.743111
1235,5.74566
1236,5.750398
1237,5.750985
1238,5.752895
1239,5.760363
1240,5.767374
1241,5.772389
1242,5.775999
1243,5.77644
1244,5.778896
1245,5.780018
1246,5.783649
1247,5.802353
1248,5.804485
1249,5.806747
1250,5.811896
1251,5.813983
1252,5.817409
1253,5.821455
1254,5.828854
1255,5.83449
1256,5.844138
1257,5.85086
1258,5.852139
1259,5.855219
1260,5.858509
1261,5.861866
1262,5.863585
1263,5.870489
1264,5.872233
1265,5.877616
1266,5.878709
1267,5.883841
1268,5.888367
1269,5.904724
1270,5.908196
1271,5.91188
1272,5.914431
1273,5.914615
1274,5.916368
1275,5.917475
1276,5.929749
1277,5.930269
1278,5.934202
1279,5.9411
1280,5.941872
1281,5.945497
1282,5.955187
1283,5.961003
1284,5.972001
1285,5.972476
1286,5.973352
1287,5.979101
1288,5.980174
1289,5.980705
1290,5.984359
1291,5.984654
1292,5.98761
1293,5.988706
1294,5.989954
1295,5.998486
1296,6.000463
1297,6.013398
1298,6.029304
1299,6.029536
1300,6.033737
1301,6.035489
1302,6.040801
1303,6.046005
1304,6.050406
1305,6.051149
1306,6.060743
1307,6.067307
1308,6.067867
1309,6.072831
1310,6.07889
1311,6.083125
1312,6.085177
1313,6.096366
1314,6.100134
1315,6.110391
1316,6.117962
1317,6.120605
1318,6.125803
1319,6.128834
1320,6.134736
1321,6.139607
1322,6.146121
1323,6.149871
1324,6.149894
1325,6.155858
1326,6.161877
1327,6.167513
1328,6.178436
1329,6.188772
1330,6.193723
1331,6.199597
1332,6.200342
1333,6.205972
1334,6.211496
1335,6.212118
1336,6.216157
1337,6.218574
1338,6.21872
1339,6.221726
1340,6.222174
1341,6.223223
1342,6.224951
1343,6.229151
1344,6.237373
1345,6.244449
1346,6.248107
1347,6.251001
1348,6.25125
1349,6.256129
1350,6.268394
1351,6.270631
1352,6.278654
1353,6.283109
1354,6.283483
1355,6.284507
1356,6.288488
1357,6.294866
1358,6.295083
1359,6.31902
1360,6.32059
1361,6.329115
1362,6.332377
1363,6.332625
1364,6.335142
1365,6.345095
1366,6.347826
1367,6.349595
1368,6.35037
1369,6.355853
1370,6.363802
1371,6.369207
1372,6.370447
1373,6.379207
1374,6.383132
1375,6.388199
1376,6.394908
1377,6.411393
1378,6.417606
1379,6.418906
1380,6.419782
1381,6.427877
1382,6.430248
1383,6.430272
1384,6.433367
1385,6.455168
1386,6.456162
1387,6.45927
1388,6.468881
1389,6.469016
1390,6.47565
1391,6.477243
1392,6.47825
1393,6.47935
1394,6.485659
1395,6.486465
1396,6.494611
1397,6.494644
1398,6.503805
1399,6.505258
1400,6.505271
1401,6.508298
1402,6.519713
1403,6.522273
1404,6.523883
1405,6.523895
1406,6.528357
1407,6.529358
1408,6.532637
1409,6.541609
1410,6.545102
1411,6.551519
1412,6.55361
1413,6.55637
1414,6.55698
1415,6.571134
1416,6.579135
1417,6.579584
1418,6.58284
1419,6.590618
1420,6.591862
1421,6.603497
1422,6.619717
1423,6.619734
1424,6.620124
1425,6.622098
1426,6.623344
1427,6.628103
1428,6.629372
1429,6.640137
1430,6.641981
1431,6.651382
1432,6.653472
1433,6.656712
1434,6.658522
1435,6.661973
1436,6.669655
1437,6.674832
1438,6.67936
1439,6.68471
1440,6.696611
1441,6.703862
1442,6.707082
1443,6.715139
1444,6.71686
1445,6.71899
1446,6.719745
1447,6.720159
1448,6.729523
1449,6.738295
1450,6.747904
1451,6.749624
1452,6.751874
1453,6.751887
1454,6.753617
1455,6.757105
1456,6.763233
1457,6.773153
1458,6.774837
1459,6.779883
1460,6.791731
1461,6.793106
1462,6.808609
1463,6.808629
1464,6.810352
1465,6.812608
1466,6.817607
1467,6.819443
1468,6.828757
1469,6.829412
1470,6.838757
1471,6.852666
1472,6.855447
1473,6.856642
1474,6.857656
1475,6.858661
1476,6.869618
1477,6.880114
1478,6.880638
1479,6.883378
1480,6.887704
1481,6.907627
1482,6.908996
1483,6.909667
1484,6.911677
1485,6.91688
1486,6.919178
1487,6.919646
1488,6.920405
1489,6.928698
1490,6.929423
1491,6.940182
1492,6.942397
1493,6.948165
1494,6.949427
1495,6.963109
1496,6.968832
1497,6.970134
1498,6.978132
1499,6.979866
1500,6.979881
1501,6.982921
1502,6.985793
1503,6.989113
1504,6.992124
1505,6.99801
1506,7.011091
1507,7.011105
1508,7.011612
1509,7.019371
1510,7.029396
1511,7.036542
1512,7.040358
1513,7.047901
1514,7.054782
1515,7.055596
1516,7.061704
1517,7.067656
1518,7.079365
1519,7.079392
1520,7.082489
1521,7.085147
1522,7.085602
1523,7.103863
1524,7.113007
1525,7.115671
1526,7.116956
1527,7.129245
1528,7.131873
1529,7.134448
1530,7.135608
1531,7.140369
1532,7.142872
1533,7.147138
1534,7.150872
1535,7.157369
1536,7.162875
1537,7.179876
1538,7.183648
1539,7.196184
1540,7.19966
1541,7.200997
1542,7.20128
1543,7.213429
1544,7.214709
1545,7.218677
1546,7.229666
1547,7.232292
1548,7.239636
1549,7.240736
1550,7.248365
1551,7.250864
1552,7.266892
1553,7.267608
1554,7.26886
1555,7.281615
1556,7.285127
1557,7.28612
1558,7.29697
1559,7.297348
1560,7.299503
1561,7.302291
1562,7.302401
1563,7.315545
1564,7.324101
1565,7.325865
1566,7.328346
1567,7.333931
1568,7.333954
1569,7.337772
1570,7.340529
1571,7.341097
1572,7.343594
1573,7.346649
1574,7.347446
1575,7.34928
1576,7.35164
1577,7.351857
1578,7.353374
1579,7.365353
1580,7.365369
1581,7.365379
1582,7.381363
1583,7.385955
1584,7.398634
1585,7.400614
1586,7.414673
1587,7.415608
1588,7.415756
1589,7.419115
1590,7.424126
1591,7.432078
1592,7.434675
1593,7.436345
1594,7.438825
1595,7.440687
1596,7.443398
1597,7.463292
1598,7.465109
1599,7.465625
1600,7.468123
1601,7.482412
1602,7.485967
1603,7.4861
1604,7.499276
1605,7.501352
1606,7.501363
1607,7.514607
1608,7.515537
1609,7.518603
1610,7.523854
1611,7.535205
1612,7.535455
1613,7.536204
1614,7.540632
1615,7.553215
1616,7.563261
1617,7.563511
1618,7.563525
1619,7.565635
1620,7.568466
1621,7.568861
1622,7.583022
1623,7.585364
1624,7.593893
1625,7.601292
1626,7.604348
